battery_level,battery_health,battery_drop_rate,battery_trend,temperature,motor_current,cpu_load,velocity
47.79,39.33,0.0,1.76,101.37,12.69,37.44,1.27
64.42,37.2,0.0,2.06,47.84,6.18,29.3,3.92
30.29,35.55,0.0,2.07,71.75,7.0,26.01,0.54
62.58,37.83,0.0,1.82,101.15,12.23,29.97,1.24
32.23,38.76,1.12,-2.63,48.43,5.96,27.47,3.38
81.95,39.09,0.0,2.2,48.21,4.27,28.75,0.95
80.63,38.07,0.0,2.22,58.32,6.65,37.29,1.28
93.88,37.57,0.0,1.18,50.4,6.35,42.48,1.69
52.96,38.21,1.26,-2.88,48.95,4.42,39.71,0.59
80.86,38.07,1.46,-2.62,47.98,4.68,26.16,0.94
77.53,39.19,0.0,2.25,47.75,6.14,27.09,1.45
59.83,38.03,0.0,1.7,77.79,9.39,44.15,1.22
75.71,37.2,0.0,1.96,50.14,5.27,27.96,1.33
75.88,37.83,0.0,1.91,50.2,4.32,23.88,0.46
23.04,36.9,0.0,2.16,51.88,6.39,29.46,1.18
51.66,37.91,0.0,1.85,47.48,5.46,36.32,1.54
37.72,37.91,0.0,1.77,50.07,5.88,29.97,1.56
91.6,38.7,1.04,-2.09,48.99,4.01,38.13,0.75
63.42,38.68,0.0,2.12,51.32,5.34,26.9,0.94
32.62,38.04,1.38,-2.69,48.53,5.46,43.45,3.31
44.14,38.69,0.0,2.01,50.51,6.13,38.45,1.51
50.08,38.98,1.57,-3.22,50.19,6.67,43.33,1.81
97.93,38.07,0.0,1.04,49.89,6.68,36.2,3.2
30.5,37.57,1.79,-3.24,47.99,6.75,41.25,4.24
96.96,37.51,0.0,1.0,81.57,10.1,33.61,1.43
21.16,37.91,0.0,2.1,48.85,5.74,36.33,1.2
85.17,37.34,0.0,2.16,73.29,7.68,34.33,0.77
48.45,38.11,0.0,2.11,48.22,5.13,35.0,2.33
33.63,37.57,0.0,1.85,49.06,6.1,40.04,1.65
68.52,37.95,0.0,1.9,48.98,5.3,35.77,3.06
42.09,39.33,0.0,2.03,92.07,9.41,30.76,0.73
37.03,37.86,0.0,2.02,48.04,5.63,35.07,1.39
51.59,38.76,0.0,1.94,90.46,10.82,33.9,1.48
23.46,37.34,0.0,1.72,52.24,5.83,35.0,1.62
82.67,36.35,0.0,2.25,47.98,5.18,35.35,1.42
44.64,36.27,0.0,2.0,50.97,7.1,35.82,3.46
79.25,37.59,0.0,1.79,50.97,5.91,43.71,1.55
26.92,38.75,0.0,2.06,82.51,10.87,30.13,1.51
89.03,37.51,0.0,1.81,59.36,5.13,41.56,0.6
95.6,38.03,0.0,0.92,51.36,5.91,32.8,3.7
27.11,38.03,0.0,1.97,48.6,5.41,41.16,1.28
40.98,38.68,0.0,2.16,51.42,6.46,30.18,0.0
79.92,39.09,1.42,-2.93,50.31,5.03,42.83,2.51
