battery_level,battery_health,battery_drop_rate,battery_trend,temperature,motor_current,cpu_load,velocity,anomaly_type
92.65,100.0,0.64,-1.19,48.46,5.91,34.4,1.46,Normal
92.03,100.0,0.63,-1.26,50.74,6.19,28.6,1.41,Normal
91.45,100.0,0.57,-1.2,52.22,6.35,33.54,1.62,Normal
90.93,100.0,0.52,-1.09,54.4,7.11,40.72,1.61,Normal
90.31,100.0,0.62,-1.14,57.05,7.16,32.78,1.78,Normal
89.76,100.0,0.55,-1.17,59.24,7.18,39.58,1.55,Normal
89.04,100.0,0.73,-1.27,60.84,7.09,46.31,1.65,Normal
88.48,100.0,0.56,-1.28,62.53,7.61,34.89,1.77,Normal
87.75,100.0,0.73,-1.29,64.19,7.79,45.35,1.76,Normal
87.19,100.0,0.55,-1.29,66.32,8.52,39.47,1.84,Normal
86.47,100.0,0.72,-1.28,68.46,8.33,29.17,1.91,MOTOR_OVERHEATING
85.88,100.0,0.59,-1.31,69.77,9.0,42.02,1.37,MOTOR_OVERHEATING
85.26,100.0,0.63,-1.21,71.74,8.35,41.76,1.01,MOTOR_OVERHEATING
84.67,100.0,0.59,-1.22,73.15,7.5,42.9,0.75,MOTOR_OVERHEATING
84.18,100.0,0.49,-1.08,74.19,7.08,35.2,0.61,MOTOR_OVERHEATING
83.6,100.0,0.58,-1.07,75.03,7.26,26.84,0.56,MOTOR_OVERHEATING
83.14,100.0,0.46,-1.04,75.38,7.55,35.79,0.95,MOTOR_OVERHEATING
82.67,100.0,0.47,-0.93,75.9,8.13,40.26,1.22,MOTOR_OVERHEATING
82.17,100.0,0.5,-0.97,77.41,9.27,38.16,1.48,MOTOR_OVERHEATING
81.51,100.0,0.66,-1.15,79.22,9.43,30.09,1.43,MOTOR_OVERHEATING
80.89,100.0,0.62,-1.28,80.56,9.53,33.56,1.52,MOTOR_OVERHEATING
80.36,100.0,0.53,-1.16,82.01,10.0,46.06,1.48,MOTOR_OVERHEATING
79.75,100.0,0.61,-1.15,84.19,10.19,31.91,1.61,MOTOR_OVERHEATING
79.09,100.0,0.66,-1.27,85.96,10.51,36.51,1.62,MOTOR_OVERHEATING
78.4,100.0,0.69,-1.35,87.8,10.82,44.04,1.75,MOTOR_OVERHEATING
77.67,100.0,0.72,-1.42,89.29,11.1,35.99,1.7,MOTOR_OVERHEATING
76.98,100.0,0.7,-1.42,90.62,11.69,29.06,1.7,MOTOR_OVERHEATING
76.28,100.0,0.7,-1.39,92.17,11.9,30.84,1.53,MOTOR_OVERHEATING
75.6,100.0,0.68,-1.37,94.19,11.38,30.26,1.52,MOTOR_OVERHEATING
75.06,100.0,0.55,-1.22,95.46,11.93,43.87,1.58,MOTOR_OVERHEATING
